year,animal_type,total_outcomes,live_outcomes,live_outcome_rate_pct
2015,Cat,6952,6407,92.2
2015,Dog,8378,7923,94.6
2016,Cat,6244,5891,94.3
2016,Dog,8048,7825,97.2
2017,Cat,6124,5775,94.3
2017,Dog,8076,7947,98.4
2018,Cat,5648,5389,95.4
2018,Dog,7929,7817,98.6
2019,Cat,7362,7027,95.4
2019,Dog,9409,9229,98.1
2020,Cat,3376,3153,93.4
2020,Dog,4859,4727,97.3
2021,Cat,4848,4590,94.7
2021,Dog,5252,5113,97.4
2022,Cat,4579,4370,95.4
2022,Dog,5738,5594,97.5
2023,Cat,5356,5161,96.4
2023,Dog,4566,4432,97.1
2024,Cat,5846,5560,95.1
2024,Dog,4707,4542,96.5
2025,Cat,1548,1440,93.0
2025,Dog,1713,1636,95.5
