year,month,animal_type,intake_count
2018,1,Bird,7
2018,1,Cat,262
2018,1,Dog,797
2018,1,Livestock,1
2018,1,Other,56
2018,2,Bird,2
2018,2,Cat,259
2018,2,Dog,737
2018,2,Other,46
2018,3,Bird,3
2018,3,Cat,310
2018,3,Dog,868
2018,3,Other,143
2018,4,Bird,10
2018,4,Cat,451
2018,4,Dog,813
2018,4,Livestock,1
2018,4,Other,113
2018,5,Bird,11
2018,5,Cat,843
2018,5,Dog,805
2018,5,Other,86
2018,6,Bird,5
2018,6,Cat,841
2018,6,Dog,805
2018,6,Other,71
2018,7,Bird,9
2018,7,Cat,732
2018,7,Dog,862
2018,7,Other,63
2018,8,Bird,8
2018,8,Cat,515
2018,8,Dog,824
2018,8,Livestock,2
2018,8,Other,50
2018,9,Bird,36
2018,9,Cat,603
2018,9,Dog,923
2018,9,Other,59
2018,10,Bird,5
2018,10,Cat,544
2018,10,Dog,957
2018,10,Livestock,1
2018,10,Other,67
2018,11,Bird,7
2018,11,Cat,386
2018,11,Dog,795
2018,11,Other,50
2018,12,Bird,8
2018,12,Cat,274
2018,12,Dog,817
2018,12,Other,36
2019,1,Bird,8
2019,1,Cat,322
2019,1,Dog,884
2019,1,Livestock,1
2019,1,Other,25
2019,2,Bird,3
2019,2,Cat,297
2019,2,Dog,775
2019,2,Other,56
2019,3,Bird,2
2019,3,Cat,409
2019,3,Dog,983
2019,3,Other,108
2019,4,Bird,4
2019,4,Cat,628
2019,4,Dog,899
2019,4,Other,90
2019,5,Bird,14
2019,5,Cat,1104
2019,5,Dog,960
2019,5,Livestock,1
2019,5,Other,53
2019,6,Bird,5
2019,6,Cat,998
2019,6,Dog,970
2019,6,Other,91
2019,7,Bird,4
2019,7,Cat,876
2019,7,Dog,1006
2019,7,Other,101
2019,8,Bird,6
2019,8,Cat,838
2019,8,Dog,934
2019,8,Other,66
2019,9,Bird,10
2019,9,Cat,849
2019,9,Dog,923
2019,9,Livestock,1
2019,9,Other,61
2019,10,Bird,15
2019,10,Cat,718
2019,10,Dog,930
2019,10,Other,64
2019,11,Bird,18
2019,11,Cat,513
2019,11,Dog,852
2019,11,Livestock,4
2019,11,Other,49
2019,12,Bird,6
2019,12,Cat,328
2019,12,Dog,814
2019,12,Other,51
2020,1,Bird,3
2020,1,Cat,301
2020,1,Dog,860
2020,1,Livestock,1
2020,1,Other,50
2020,2,Cat,278
2020,2,Dog,781
2020,2,Other,86
2020,3,Bird,2
2020,3,Cat,211
2020,3,Dog,559
2020,3,Other,111
2020,4,Bird,2
2020,4,Cat,85
2020,4,Dog,180
2020,4,Other,46
